model,mae_mean,mae_std,wape_mean,peak_mae_mean,peak_mae_std,bias_mean,fit_seconds_mean,predict_ms_per_1k_rows,model_size_kb
hgb,43.95602767832175,8.086668802600736,0.4530676452253755,238.996873319501,11.156802279071057,-7.63634028883947,1.5676666666666668,3.3966666666666665,1144.3666666666666
ridge,54.25185539855128,9.666227505264708,0.5589914691855783,227.04627526732267,11.905904898103488,-7.662681416034281,0.0036666666666666666,0.2733333333333334,3.5
last_value,55.37846168195085,2.984287861697796,0.570229044933589,252.84453863708094,3.8031939124977896,-0.031218249326288364,0.0,0.01,0.10000000000000002
seasonal_naive,61.394780474932936,4.425799861617668,0.6317634829222728,261.76805606663766,10.978459809742409,0.08198296657517619,0.0,0.03,0.10000000000000002
